month,year,n
September,1900,48
October,1900,60
November,1900,61
December,1900,49
January,1901,58
February,1901,41
March,1901,31
April,1901,23
May,1901,24
June,1901,28
July,1901,20
August,1901,30
September,1901,32
October,1901,32
November,1901,40
December,1901,12
January,1902,36
February,1902,21
March,1902,30
April,1902,47
May,1902,53
June,1902,61
July,1902,51
August,1902,48
September,1902,37
October,1902,66
November,1902,49
December,1902,33
January,1903,42
February,1903,32
March,1903,60
